,Country Code_y,Country Name,Political model,GDP-2012,GDP -2013,GDP-2014,GDP-2015,GDP-2016,GDP-2017,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018,2018 score,Status
94,GBR,United Kingdom,"Capitalism,Democracy",2.66E+12,2.74E+12,3.02E+12,2.89E+12,2.65E+12,2.62E+12,2.573234797,2.291666667,1.451120163,0.368046842,1.008417368,2.557755776,7.889999866,7.53000021,6.110000134,5.300000191,4.809999943,4.329999924,3.996000051,21.20999908,20.68000031,16.95999908,14.63000011,12.98999977,12.07999992,11.12300014,34.3,1
95,GEO,Georgia,Capitalism,15846474598,16140047042,16509305829,13993546748,14378016729,15081338092,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,15.03999996,14.56000042,12.35000038,11.96000004,11.76000023,11.60200024,11.63700008,32.91500092,35.51200104,30.49799919,30.33200073,29.93199921,28.77599907,28.41799927,74,1
96,GMB,Gambia,Democracy,910026155.7,1367041585,1259063630,1394149615,1442298542,1489464788,4.254534775,5.699730297,5.947374922,6.808326252,7.228792721,8.034580156,9.420000076,9.421999931,9.427000046,9.420000076,9.43200016,9.449999809,9.454999924,12.87699986,12.86499977,12.8039999,12.86400032,12.88300037,12.8920002,12.89299965,87.1,0
97,GNQ,Equatorial Guinea,Dictatorship,22389626329,21942597765,21736500713,13180195435,11260900826,12293579173,3.656620483,2.948876946,4.309998661,1.676630853,1.411939155,0.744354747,5.551000118,5.522999763,5.494999886,5.459000111,6.193999767,6.914000034,7.576000214,11.41499996,11.28199959,11.31999969,11.2329998,12.72900009,14.16399956,15.52400017,83.4,0
98,GRC,Greece,Democracy,2.46E+11,2.4E+11,2.37E+11,1.96E+11,1.93E+11,2E+11,1.501527961,-0.922168807,-1.311210501,-1.736036796,-0.825651782,1.121235477,24.44000053,27.46999931,26.48999977,24.89999962,23.54000092,21.48999977,21.07299995,55.2519989,58.21099854,52.43999863,49.81700134,47.27799988,43.59700012,42.52600098,55.3,1
99,GRD,Grenada,Democracy,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1126882296,2.41077704,-0.043999786,-0.983603056,-0.515448031,1.650389944,0.908458256,,,,,,,,,,,,,,,59.9,1
100,GUY,Guyana,Democracy,2861560061,2987684143,3077643261,3197222215,3504024213,3621046005,2.391935213,1.901251819,0.852630498,-1.001734328,0.836008062,1.904656155,11.07499981,11.1260004,11.57499981,11.80900002,11.75500011,12.03999996,11.92300034,21.45999908,21.12400055,21.50200081,21.58099937,21.26499939,21.54899979,21.75600052,70.4,1
101,HRV,Croatia,Democracy,56548374546,58147688052,57671307487,49490142433,51640880494,55213087271,3.422982885,2.206461781,-0.208172706,-0.50390772,-1.125,1.129372103,15.93000031,17.25,17.29000092,16.18000031,13.10000038,11.21000004,9.098999977,42.02500153,50.01800156,45.55699921,42.44400024,31.3390007,27.36700058,22.25499916,48.7,1
102,HUN,Hungary,Democracy,1.28E+11,1.35E+11,1.4E+11,1.23E+11,1.26E+11,1.39E+11,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,11,10.18000031,7.730000019,6.809999943,5.110000134,4.159999847,3.648999929,28.17399979,26.50900078,20.33099937,17.20199966,12.85200024,10.68900013,9.440999985,50.2,1
103,IDN,Indonesia,Democracy,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,4.46999979,4.340000153,4.050000191,4.510000229,4.119999886,4.179999828,4.321000099,14.96100044,15.1590004,15.18700027,16.68899918,14.91899967,15.23700047,15.84899998,72.3,1
